#{"t_start": 1602351007.3219547, "env_id": "lowthrust-v0"}
r,l,t
-1042.057397,40,0.425023
-795.270329,40,0.458019
-1146.199009,40,0.490269
-788.963901,40,0.523197
-1121.851533,40,0.780039
-926.753402,40,0.814096
-1083.409429,40,0.848159
-1136.254817,40,0.881281
-853.719604,40,1.026439
-937.529369,40,1.059434
-877.810944,40,1.092654
-1158.5226,40,1.125719
-943.837204,40,1.270982
-1181.035144,40,1.305211
-1168.393946,40,1.339909
-875.552509,40,1.374603
-992.342287,40,1.52463
-1062.221832,40,1.557929
-910.800225,40,1.591437
-993.421503,40,1.624768
-1143.877291,40,1.768433
-1255.385475,40,1.799522
-852.824247,40,1.82992
-1116.668678,40,1.859344
-886.83698,40,2.000871
-1072.106566,40,2.032257
-990.174153,40,2.06252
-1022.274855,40,2.092046
-831.56332,40,2.233247
-939.966391,40,2.263487
-783.037553,40,2.294215
-874.732405,40,2.325
-813.049324,40,2.467255
-774.423746,40,2.498681
-797.944628,40,2.531285
-952.244486,40,2.561113
-942.311771,40,2.702683
-668.794679,40,2.733897
-912.085507,40,2.764121
-724.616549,40,2.795244
-777.134731,40,2.938043
-735.414795,40,2.969192
-801.034594,40,2.999483
-753.093656,40,3.030171
-708.064075,40,3.173659
-586.552198,40,3.204746
-856.900975,40,3.235858
-881.550279,40,3.265959
-670.298474,40,3.407336
-851.468411,40,3.438229
-1090.728971,40,3.467743
-797.310052,40,3.498571
-863.107727,40,3.644362
-1140.562206,40,3.674841
-947.916897,40,3.705272
-735.469572,40,3.735165
-860.418234,40,3.881587
-634.994857,40,3.913051
-541.457244,40,3.943007
-731.710021,40,3.972316
-793.841728,40,4.114064
-780.812536,40,4.145793
-660.183288,40,4.177016
-747.298554,40,4.208143
-765.059162,40,4.350084
-671.733809,40,4.380484
-861.742762,40,4.409939
-556.481629,40,4.440054
-891.295313,40,4.587405
-893.38872,40,4.617583
-386.485558,40,4.647654
-811.604899,40,4.678052
-636.152273,40,4.819824
-796.639767,40,4.850887
-521.363449,40,4.88095
-670.245914,40,4.911107
-575.447295,40,5.05493
-594.880596,40,5.086034
-504.812496,40,5.117219
-676.359117,40,5.146132
-617.602463,40,5.289961
-489.800979,40,5.321914
-669.06797,40,5.352704
-556.481723,40,5.382838
-612.781083,40,5.525574
-546.453045,40,5.557507
-631.013947,40,5.58758
-621.900809,40,5.61864
-697.993807,40,5.762043
-564.544295,40,5.793781
-560.281349,40,5.824727
-530.913102,40,5.8558
-424.870831,40,5.997595
-509.659581,40,6.028778
-721.592888,40,6.059578
-770.885879,40,6.090114
-523.410805,40,6.230226
-593.711538,40,6.261291
-560.127466,40,6.292865
-501.451624,40,6.322691
-620.224969,40,6.465222
-467.293709,40,6.495943
-527.454885,40,6.525636
-624.170371,40,6.556739
-508.055472,40,6.696972
-500.45958,40,6.727869
-446.710868,40,6.758464
-555.45703,40,6.788942
-461.60181,40,6.930704
-508.839427,40,6.961639
-376.137918,40,6.991881
-422.049859,40,7.022102
-308.094814,40,7.161826
-682.061461,40,7.192568
-416.956781,40,7.222736
-295.520222,40,7.252246
-516.52748,40,7.394367
-403.753176,40,7.425006
-206.618686,40,7.45612
-272.979101,40,7.486828
-417.176842,40,7.627816
-295.842268,40,7.658942
-493.065719,40,7.688731
-309.262333,40,7.718559
-495.046433,40,7.86216
-520.485663,40,7.8931
-352.194176,40,7.922669
-535.623183,40,7.953042
-388.459699,40,8.094412
-535.773783,40,8.125382
-447.399527,40,8.15636
-395.091736,40,8.185767
-273.980258,40,8.328811
-323.01069,40,8.359509
-395.724992,40,8.389214
-403.736484,40,8.419191
-406.417836,40,8.562941
-372.993896,40,8.594412
-392.047037,40,8.624148
-544.152167,40,8.654083
-302.542278,40,8.796447
-390.529528,40,8.82686
-256.151568,40,8.858219
-382.641267,40,8.889209
-237.341074,40,9.033291
-206.642849,40,9.065239
-349.855597,40,9.0956
-163.59435,40,9.125873
-224.546217,40,9.269595
-193.0412,40,9.301182
-243.707823,40,9.332642
-308.253327,40,9.362386
-311.386052,40,9.506055
-299.369315,40,9.541431
-482.868917,40,9.572523
-275.970348,40,9.601969
-261.988268,40,9.742976
-369.045165,40,9.773112
-270.752043,40,9.802397
-259.087834,40,9.832093
-158.806931,40,9.97251
-319.717987,40,10.003897
-231.634048,40,10.034686
-487.383233,40,10.065806
-178.563051,40,10.207855
-307.424484,40,10.239305
-286.554409,40,10.270325
-307.662815,40,10.30077
-256.137619,40,10.442817
-204.559189,40,10.473688
-120.563688,40,10.504194
-249.95791,40,10.534833
-179.723795,40,10.678992
-156.841017,40,10.710917
-271.890478,40,10.740478
-290.883705,40,10.769705
-293.147637,40,10.911692
-284.376701,40,10.943062
-307.331956,40,10.974724
-233.724326,40,11.005282
-251.715509,40,11.147852
-230.782089,40,11.178734
-196.910838,40,11.208407
-200.42142,40,11.237752
-135.262559,40,11.378157
-147.905879,40,11.408614
-143.565868,40,11.439663
-137.938191,40,11.470021
-243.916604,40,11.613602
-199.556018,40,11.645846
-212.95556,40,11.677028
-235.330274,40,11.706857
-226.763015,40,11.848591
-143.782575,40,11.879597
-252.578926,40,11.90925
-384.354623,40,11.939035
-137.806883,40,12.080547
-129.537963,40,12.111032
-108.185535,40,12.140495
-142.336157,40,12.171375
-243.090722,40,12.313125
-132.31523,40,12.343942
-236.443753,40,12.373976
-228.906842,40,12.404343
-199.921065,40,12.54701
-229.806971,40,12.579557
-186.159347,40,12.609703
-139.985543,40,12.641131
-230.090704,40,12.783311
-203.429145,40,12.815279
-200.978266,40,12.845539
-66.162071,40,12.875497
-103.5067,40,13.02284
-162.34108,40,13.053905
-152.511684,40,13.084081
-291.558893,40,13.113922
-203.062675,40,13.258565
-80.739757,40,13.291072
-117.211555,40,13.32082
-153.11812,40,13.35033
-141.146653,40,13.495591
-118.446874,40,13.526936
-122.650577,40,13.558252
-101.640769,40,13.58833
-104.448521,40,13.730543
-77.500432,40,13.761695
-187.379123,40,13.792607
-110.106916,40,13.823341
-174.3655,40,13.966455
-96.09494,40,13.997818
-94.833016,40,14.02805
-71.760649,40,14.057119
-120.511143,40,14.198467
-172.29683,40,14.228142
-111.716483,40,14.258777
-91.070547,40,14.289594
-146.410945,40,14.43139
-123.314019,40,14.463137
-165.452933,40,14.493779
-90.160732,40,14.523768
-62.591681,40,14.66696
-90.589401,40,14.699324
-129.390835,40,14.729519
-123.462848,40,14.760079
-67.825967,40,14.904311
-49.244675,40,14.93569
-30.475726,40,14.965065
-148.233359,40,14.996202
-95.951057,40,15.137732
-106.163224,40,15.168901
-64.484427,40,15.199417
-147.491547,40,15.228829
-60.600669,40,15.369376
-43.008211,40,15.400993
-140.957324,40,15.431759
-91.156751,40,15.461839
-72.08296,40,15.604963
-43.351607,40,15.636829
-66.873006,40,15.667862
-28.698153,40,15.698771
-71.771668,40,15.841824
-95.82392,40,15.871014
-78.800052,40,15.900406
-54.783449,40,15.930121
-30.992724,40,16.071385
-24.713313,40,16.102763
-118.826909,40,16.133301
-124.718273,40,16.163893
-31.192109,40,16.305334
-113.516334,40,16.337445
-83.025873,40,16.368398
-182.972509,40,16.398512
-99.034672,40,16.5409
-85.166212,40,16.571715
-61.118397,40,16.601048
-74.42532,40,16.63102
-71.751299,40,16.773259
-73.450787,40,16.804396
-65.836867,40,16.834628
-109.008707,40,16.866368
-125.991953,40,17.007754
-128.274219,40,17.038848
-50.673436,40,17.067712
-21.772658,40,17.097739
-18.880275,40,17.240296
-90.604093,40,17.271104
-42.567887,40,17.300852
-47.291194,40,17.332037
-55.511021,40,17.47485
-41.930475,40,17.506675
-25.154942,40,17.536048
-83.721301,40,17.574132
-78.115598,40,17.71701
-23.631503,40,17.749259
-77.068611,40,17.77978
-37.940118,40,17.810896
-85.27146,40,17.953659
-28.124334,40,17.984025
-15.343172,40,18.014606
-77.159053,40,18.044559
-25.998411,40,18.184604
-53.746046,40,18.214821
-48.624008,40,18.244468
-33.764963,40,18.275166
-63.073554,40,18.418724
-56.794673,40,18.448997
-57.351964,40,18.477939
-41.280903,40,18.507689
-39.371505,40,18.651864
-51.624115,40,18.68353
-35.891733,40,18.713034
-17.014264,40,18.742824
-66.333227,40,18.885828
-86.42613,40,18.917944
