#{"t_start": 1595955243.0700357, "env_id": "lowthrust-v0"}
r,l,t
-1076.942311,40,0.45544
-904.304498,40,0.490127
-1012.207939,40,0.522677
-1119.415509,40,0.55508
-822.96972,40,0.874653
-1176.4912,40,0.907007
-988.494323,40,0.9404
-1201.580359,40,0.975349
-903.480258,40,1.158034
-1111.098769,40,1.190551
-1171.070515,40,1.222245
-1044.311954,40,1.254602
-789.813465,40,1.44042
-1071.123039,40,1.471228
-1020.900436,40,1.503116
-1093.098462,40,1.535404
-796.596328,40,1.706655
-894.445744,40,1.738041
-850.182534,40,1.769195
-884.469071,40,1.800286
-941.709455,40,1.963496
-1107.694603,40,1.993723
-1119.493254,40,2.023181
-905.792775,40,2.052069
-956.595024,40,2.215102
-850.224268,40,2.246418
-1142.304387,40,2.276217
-735.473205,40,2.30539
-977.371797,40,2.470636
-1070.610871,40,2.501923
-762.745539,40,2.532383
-964.206314,40,2.562083
-1005.487047,40,2.731451
-791.064206,40,2.762422
-779.45996,40,2.793602
-917.147745,40,2.82428
-941.337059,40,2.986093
-919.567014,40,3.01698
-868.11861,40,3.0474
-963.431405,40,3.076714
-795.11502,40,3.238614
-666.947241,40,3.269529
-983.831523,40,3.29932
-828.590643,40,3.328696
-888.37408,40,3.496493
-667.748537,40,3.526723
-903.064206,40,3.556095
-816.869367,40,3.585435
-803.301715,40,3.74664
-729.80647,40,3.776337
-941.746199,40,3.805398
-669.56684,40,3.834556
-1017.25851,40,3.997375
-813.382524,40,4.027606
-1220.657641,40,4.057745
-749.310682,40,4.08767
-721.081122,40,4.259675
-777.791741,40,4.290669
-685.622014,40,4.321029
-727.918901,40,4.350253
-875.787887,40,4.518128
-872.093936,40,4.548255
-787.301756,40,4.578996
-745.96205,40,4.608578
-724.145567,40,4.773659
-875.998434,40,4.803195
-776.012528,40,4.832335
-924.139616,40,4.862011
-908.671002,40,5.025011
-748.385612,40,5.056277
-742.874267,40,5.086023
-828.27533,40,5.115647
-627.099291,40,5.277362
-702.392598,40,5.310095
-600.124184,40,5.343068
-728.893162,40,5.375115
-932.807605,40,5.544261
-673.187449,40,5.57792
-738.912224,40,5.609248
-732.431178,40,5.638345
-635.866033,40,5.801812
-697.770084,40,5.833295
-708.096779,40,5.862467
-696.108031,40,5.892282
-922.893912,40,6.057357
-699.616655,40,6.087972
-851.860394,40,6.119418
-851.638165,40,6.149018
-571.871012,40,6.312972
-756.281574,40,6.348563
-649.423681,40,6.383967
-785.085042,40,6.419899
-579.415895,40,6.589089
-758.734978,40,6.621262
-434.91245,40,6.652005
-687.004133,40,6.682965
-580.144002,40,6.845405
-497.066272,40,6.875608
-818.841374,40,6.905099
-600.426318,40,6.934599
-546.443841,40,7.099541
-433.375888,40,7.130001
-509.514338,40,7.159871
-846.366626,40,7.19105
-581.287898,40,7.355343
-387.878427,40,7.384779
-544.442386,40,7.41446
-573.10689,40,7.444497
-742.575961,40,7.606258
-549.215173,40,7.63716
-632.127035,40,7.666337
-733.465095,40,7.695472
-409.3801,40,7.866695
-687.116118,40,7.901323
-608.351901,40,7.934612
-535.339356,40,7.967556
-337.052417,40,8.146187
-659.238335,40,8.176677
-456.775876,40,8.207203
-316.26559,40,8.236712
-414.293515,40,8.40131
-440.87903,40,8.431522
-513.760363,40,8.461915
-306.185759,40,8.492601
-541.513729,40,8.654588
-401.043373,40,8.684029
-513.881014,40,8.713729
-514.077786,40,8.742746
-460.520662,40,8.904848
-485.629617,40,8.935076
-698.424745,40,8.965089
-437.918156,40,8.9949
-246.072366,40,9.230732
-298.444849,40,9.267482
-382.597374,40,9.304075
-526.547405,40,9.341244
-414.917515,40,9.544358
-467.876321,40,9.575249
-351.245642,40,9.60518
-513.253642,40,9.635398
-253.144281,40,9.7987
-406.207957,40,9.830901
-506.959656,40,9.863809
-256.735273,40,9.897
-414.758076,40,10.061294
-298.257811,40,10.09125
-392.259768,40,10.121392
-271.327708,40,10.151404
-517.470008,40,10.317066
-308.267058,40,10.347845
-396.683706,40,10.377397
-315.024786,40,10.406501
-579.275201,40,10.570931
-365.49466,40,10.601142
-259.538965,40,10.630636
-456.527511,40,10.660773
-503.863523,40,10.822951
-294.532539,40,10.853722
-273.729862,40,10.884142
-290.579567,40,10.914673
-413.079016,40,11.076967
-377.933469,40,11.107832
-531.055227,40,11.138733
-293.820254,40,11.169368
-323.356758,40,11.334666
-277.016864,40,11.365332
-303.655792,40,11.396747
-248.21201,40,11.427206
-431.118655,40,11.589525
-299.598165,40,11.619451
-339.33724,40,11.648243
-340.973764,40,11.677004
-304.921596,40,11.837262
-321.475303,40,11.867663
-370.372793,40,11.897753
-284.856642,40,11.927287
-281.761868,40,12.088619
-237.904949,40,12.118756
-169.49241,40,12.147842
-296.764518,40,12.177258
-293.91863,40,12.341508
-166.288238,40,12.37149
-141.412409,40,12.400809
-193.907175,40,12.429933
-265.844897,40,12.592471
-280.580682,40,12.623123
-235.77965,40,12.652213
-201.189063,40,12.681066
-227.671261,40,12.844398
-256.760579,40,12.875169
-286.598535,40,12.9058
-96.744491,40,12.93503
-244.295254,40,13.097131
-163.552962,40,13.128236
-356.445443,40,13.158484
-227.656591,40,13.187367
-282.214559,40,13.350053
-206.112883,40,13.38041
-297.363062,40,13.409818
-155.349467,40,13.440105
-233.995223,40,13.601134
-205.190713,40,13.632071
-192.669348,40,13.661906
-284.283573,40,13.691193
-205.942491,40,13.853828
-208.073968,40,13.883723
-101.670502,40,13.91264
-204.745288,40,13.941918
-174.115337,40,14.105238
-143.256682,40,14.136261
-117.321979,40,14.165854
-158.532966,40,14.19632
-277.510545,40,14.358333
-112.928208,40,14.388258
-111.864795,40,14.418792
-158.285411,40,14.448564
-168.658557,40,14.608848
-178.588581,40,14.638787
-92.39163,40,14.668922
-203.157693,40,14.6994
-147.041487,40,14.866676
-124.441511,40,14.898377
-181.536316,40,14.928548
-236.230044,40,14.95837
-191.533875,40,15.118573
-113.476173,40,15.148792
-141.991816,40,15.178399
-60.078756,40,15.208423
-219.398492,40,15.373232
-158.365251,40,15.404098
-197.316146,40,15.434796
-109.449773,40,15.464267
-143.19787,40,15.627439
-203.408234,40,15.658751
-69.868246,40,15.68923
-124.003174,40,15.719485
-95.602,40,15.884088
-157.483084,40,15.914804
-81.062289,40,15.945695
-97.087377,40,15.976064
-59.703907,40,16.141382
-168.196219,40,16.172293
-151.587749,40,16.203868
-217.939674,40,16.233019
-53.036846,40,16.408576
-152.512976,40,16.44001
-56.586186,40,16.469551
-192.203607,40,16.499195
-89.959083,40,16.664566
-88.292381,40,16.695567
-88.870794,40,16.725146
-54.617552,40,16.753701
-99.277348,40,16.915493
-137.483062,40,16.945824
-125.570922,40,16.975452
-106.257893,40,17.004705
-161.404269,40,17.169501
-113.978582,40,17.199343
-158.064193,40,17.228741
-83.576655,40,17.257855
-94.452642,40,17.421972
-63.528074,40,17.452108
-95.965691,40,17.482697
-41.654694,40,17.511811
-60.822522,40,17.674405
-127.01147,40,17.704751
-52.158874,40,17.735561
-95.084378,40,17.76589
-91.873072,40,17.926802
-57.604866,40,17.957323
-64.154031,40,17.986256
-32.71647,40,18.016691
-60.686939,40,18.178285
-98.571716,40,18.209296
-61.978386,40,18.23988
-80.082004,40,18.2698
-48.256797,40,18.431409
-52.857711,40,18.461577
-57.938504,40,18.492053
-105.919384,40,18.522027
-70.5763,40,18.681804
-116.238432,40,18.712686
-107.26478,40,18.742455
-75.523926,40,18.771957
-75.418253,40,18.935359
-19.262027,40,18.966266
-56.161343,40,18.996607
-89.834609,40,19.026278
-62.869479,40,19.195008
-94.529263,40,19.225869
-60.460792,40,19.256577
-74.778317,40,19.287037
-88.290575,40,19.45051
-73.307398,40,19.480594
-137.076029,40,19.510832
-131.340608,40,19.540675
-73.655922,40,19.711673
-113.049663,40,19.743259
-71.658997,40,19.772742
-50.154191,40,19.801387
-105.039323,40,19.969826
-20.646349,40,19.999722
-36.391415,40,20.030407
-71.383388,40,20.059532
-29.601139,40,20.22237
-44.083923,40,20.252191
-63.072345,40,20.282766
-38.074509,40,20.312367
-69.37521,40,20.473209
-48.497438,40,20.504018
-30.103898,40,20.533425
-104.20042,40,20.562346
-44.984253,40,20.727864
-106.583321,40,20.758731
-28.004146,40,20.788714
-51.830898,40,20.818853
-57.873471,40,20.982527
-15.094105,40,21.01266
-35.695511,40,21.042964
-26.635219,40,21.073773
-74.934241,40,21.246521
-31.500062,40,21.277659
-40.632403,40,21.308518
