#{"t_start": 1602351007.3217254, "env_id": "lowthrust-v0"}
r,l,t
-1197.74639,40,0.425262
-1014.106256,40,0.458271
-954.566064,40,0.490693
-1340.463555,40,0.523626
-843.207516,40,0.780471
-1092.878994,40,0.814329
-920.337816,40,0.848425
-923.619203,40,0.881513
-1140.080595,40,1.026827
-743.635796,40,1.059655
-890.620216,40,1.092865
-1163.348158,40,1.125943
-1290.359936,40,1.271395
-977.496252,40,1.305455
-767.763001,40,1.340137
-1130.524751,40,1.374846
-1023.654073,40,1.525094
-950.871234,40,1.558338
-1280.768053,40,1.591872
-1103.184051,40,1.625178
-876.524434,40,1.768671
-951.617934,40,1.799764
-1204.848758,40,1.830196
-858.938725,40,1.859602
-818.737273,40,2.001119
-1139.676246,40,2.032514
-1057.067202,40,2.062761
-957.710376,40,2.092292
-828.57866,40,2.233491
-1044.249394,40,2.263758
-1060.706556,40,2.294502
-913.673228,40,2.32524
-1067.077619,40,2.467526
-760.422038,40,2.498927
-752.227732,40,2.531566
-910.789473,40,2.56137
-715.176989,40,2.702947
-661.721905,40,2.734159
-925.941566,40,2.764367
-797.741413,40,2.795496
-998.683385,40,2.938291
-910.376305,40,2.969452
-956.415277,40,2.999732
-859.334282,40,3.030423
-662.873503,40,3.17388
-755.295567,40,3.205031
-938.693913,40,3.236109
-908.987838,40,3.266222
-681.976669,40,3.407592
-980.946466,40,3.438482
-703.354914,40,3.467981
-736.306314,40,3.49882
-624.725897,40,3.644618
-741.919967,40,3.675115
-742.34403,40,3.705517
-894.682619,40,3.735426
-789.918918,40,3.881832
-847.903986,40,3.913332
-890.750522,40,3.943233
-869.321207,40,3.972546
-701.498151,40,4.114325
-715.291489,40,4.146068
-434.109827,40,4.177274
-686.77914,40,4.208414
-905.596322,40,4.350317
-703.670197,40,4.38073
-738.43771,40,4.410189
-742.51764,40,4.44032
-657.846774,40,4.587657
-734.791213,40,4.61787
-765.504933,40,4.647919
-655.482013,40,4.678316
-634.859134,40,4.820073
-728.581632,40,4.851159
-689.239555,40,4.881214
-671.36396,40,4.911356
-596.885189,40,5.055192
-507.825855,40,5.0863
-660.928234,40,5.117456
-721.180879,40,5.146369
-558.052298,40,5.290214
-403.479714,40,5.322166
-713.764915,40,5.352938
-628.8655,40,5.383073
-681.680676,40,5.526101
-420.883012,40,5.557762
-562.360126,40,5.587847
-576.098663,40,5.618898
-601.48052,40,5.762296
-452.249358,40,5.794035
-257.609923,40,5.824968
-655.927579,40,5.856054
-605.727665,40,5.997852
-563.705844,40,6.029018
-365.045261,40,6.059829
-594.856322,40,6.09035
-480.618973,40,6.230483
-572.913984,40,6.261563
-530.649083,40,6.29312
-489.358912,40,6.322944
-246.183678,40,6.465472
-462.388702,40,6.496199
-779.139416,40,6.52595
-550.176105,40,6.556977
-490.736833,40,6.697235
-466.596529,40,6.728116
-507.506375,40,6.758712
-508.477879,40,6.789228
-357.59057,40,6.930969
-493.206333,40,6.961907
-383.568924,40,6.992118
-383.756521,40,7.022323
-436.472177,40,7.162077
-434.301629,40,7.192832
-400.614833,40,7.222979
-361.253828,40,7.252486
-427.857432,40,7.394622
-321.613352,40,7.425294
-507.214041,40,7.456373
-375.714107,40,7.487116
-376.152937,40,7.628056
-528.637395,40,7.659222
-178.841918,40,7.688977
-404.986066,40,7.718812
-462.936436,40,7.862427
-451.541032,40,7.893323
-410.067595,40,7.922912
-278.814582,40,7.953279
-329.633602,40,8.09467
-424.225749,40,8.125626
-378.358492,40,8.156636
-634.047783,40,8.186016
-305.567046,40,8.329073
-425.797202,40,8.359752
-223.655742,40,8.389482
-339.399984,40,8.419447
-237.861226,40,8.563226
-541.418588,40,8.594687
-290.14953,40,8.624403
-416.547592,40,8.654338
-297.430618,40,8.7967
-283.769826,40,8.827112
-192.488589,40,8.858493
-411.77235,40,8.889462
-357.637386,40,9.033536
-271.906699,40,9.065496
-342.488469,40,9.095863
-370.589523,40,9.126137
-251.45441,40,9.269844
-391.549161,40,9.301449
-341.386533,40,9.332887
-366.191306,40,9.362656
-355.187191,40,9.506329
-337.614516,40,9.541668
-187.306397,40,9.572766
-186.680191,40,9.602237
-278.717422,40,9.743215
-221.250955,40,9.773352
-193.966108,40,9.802647
-271.896245,40,9.832339
-191.181817,40,9.972779
-242.796017,40,10.004167
-275.813352,40,10.034948
-320.187883,40,10.06604
-244.199417,40,10.208102
-174.734078,40,10.23957
-260.276559,40,10.270572
-261.057359,40,10.301016
-214.001944,40,10.443067
-251.174734,40,10.473951
-208.759437,40,10.504443
-217.404599,40,10.535123
-246.219002,40,10.679246
-206.671142,40,10.711192
-207.956675,40,10.740729
-260.57807,40,10.769937
-241.9932,40,10.91195
-223.200239,40,10.943323
-289.433642,40,10.974991
-172.394837,40,11.005524
-198.553294,40,11.1481
-221.141462,40,11.17897
-201.699188,40,11.208663
-371.172461,40,11.237997
-164.72403,40,11.378411
-255.221589,40,11.408884
-151.251402,40,11.439932
-100.610072,40,11.470289
-320.26091,40,11.613855
-185.501344,40,11.646089
-219.467687,40,11.677285
-281.340086,40,11.707109
-150.965937,40,11.848834
-133.990054,40,11.879873
-153.487667,40,11.909498
-182.848028,40,11.939293
-157.839093,40,12.080801
-228.052359,40,12.111277
-191.412984,40,12.140709
-147.115334,40,12.171654
-160.442752,40,12.313366
-159.397957,40,12.34421
-99.58756,40,12.374219
-223.747146,40,12.404601
-246.790723,40,12.547425
-189.92139,40,12.579808
-168.992038,40,12.609966
-154.648388,40,12.641397
-80.601956,40,12.783595
-119.225395,40,12.815523
-165.148475,40,12.845772
-180.19234,40,12.875757
-224.705063,40,13.023111
-180.063163,40,13.054185
-147.932084,40,13.084359
-130.988697,40,13.114177
-117.433836,40,13.258812
-109.263197,40,13.291342
-118.222768,40,13.321065
-101.33083,40,13.35057
-158.38159,40,13.495843
-140.365084,40,13.527192
-87.687882,40,13.558481
-148.871438,40,13.588576
-67.056235,40,13.730803
-130.886925,40,13.76192
-75.253767,40,13.792871
-180.099797,40,13.823616
-114.164724,40,13.966702
-100.706082,40,13.99807
-153.108714,40,14.028294
-108.917779,40,14.057369
-148.107885,40,14.198962
-55.619835,40,14.228418
-107.613646,40,14.259025
