#{"t_start": 1595955243.0276127, "env_id": "lowthrust-v0"}
r,l,t
-1008.614088,40,0.497885
-1163.331244,40,0.532748
-990.576412,40,0.565145
-972.324258,40,0.597548
-1057.339744,40,0.91712
-962.988486,40,0.949469
-1323.384398,40,0.982894
-1145.893344,40,1.017839
-766.775037,40,1.200499
-1193.172042,40,1.233004
-828.187992,40,1.264701
-1063.645354,40,1.297101
-1209.712243,40,1.482889
-962.726764,40,1.513687
-944.729181,40,1.545583
-1246.713936,40,1.577848
-1001.434731,40,1.749119
-1058.572327,40,1.780503
-821.847887,40,1.81167
-1028.223503,40,1.84274
-792.958598,40,2.005947
-1004.828653,40,2.036185
-731.672044,40,2.06564
-1102.284639,40,2.094524
-915.261689,40,2.257553
-1139.831279,40,2.288871
-766.178314,40,2.318679
-1013.859855,40,2.347828
-736.493332,40,2.513127
-1084.168609,40,2.544357
-1137.346272,40,2.574887
-1188.254593,40,2.604555
-878.848573,40,2.773904
-906.986723,40,2.804885
-964.28049,40,2.836061
-841.396573,40,2.866752
-807.314246,40,3.028561
-972.510794,40,3.059451
-927.55638,40,3.089839
-1207.500681,40,3.119181
-1009.034731,40,3.281062
-798.356357,40,3.311994
-814.526234,40,3.34178
-922.203192,40,3.371166
-896.559346,40,3.538965
-974.52845,40,3.569177
-775.228326,40,3.598544
-1092.38863,40,3.627924
-917.579032,40,3.789107
-772.296926,40,3.818825
-834.106498,40,3.847877
-872.867587,40,3.877007
-971.964301,40,4.039836
-990.502384,40,4.070064
-720.718466,40,4.100241
-972.54048,40,4.130111
-974.069072,40,4.302116
-746.875482,40,4.333117
-881.847854,40,4.363525
-893.360947,40,4.392718
-1074.173273,40,4.56061
-746.489717,40,4.590696
-751.440504,40,4.621445
-717.701952,40,4.651013
-914.595856,40,4.816117
-851.433627,40,4.845672
-855.926767,40,4.874785
-912.871964,40,4.904488
-688.809098,40,5.067457
-729.767917,40,5.098761
-845.905769,40,5.128494
-893.090281,40,5.158099
-752.123062,40,5.319802
-802.13425,40,5.352618
-889.756093,40,5.385507
-804.204056,40,5.417532
-799.496156,40,5.586682
-520.253579,40,5.620374
-528.352057,40,5.651718
-462.212524,40,5.680816
-844.876403,40,5.844255
-812.302545,40,5.875748
-782.508054,40,5.904913
-743.97765,40,5.934733
-564.290822,40,6.099801
-644.701079,40,6.130438
-740.104291,40,6.161898
-560.73794,40,6.191516
-542.536774,40,6.355239
-560.455406,40,6.390857
-635.700288,40,6.426444
-731.148901,40,6.462385
-675.692593,40,6.631549
-659.031629,40,6.663715
-562.954718,40,6.694453
-795.661258,40,6.725429
-525.147572,40,6.887848
-609.239534,40,6.918048
-663.758635,40,6.947562
-717.648184,40,6.977058
-644.288549,40,7.142027
-557.274095,40,7.172454
-636.624163,40,7.202319
-544.836132,40,7.233493
-714.249811,40,7.397797
-721.788589,40,7.427263
-555.664439,40,7.456917
-634.852065,40,7.486945
-396.246044,40,7.648733
-484.772096,40,7.679638
-788.710645,40,7.708822
-454.715556,40,7.737938
-603.33485,40,7.909128
-563.807675,40,7.943791
-410.517453,40,7.977057
-416.146203,40,8.010037
-464.622782,40,8.18865
-577.742186,40,8.219162
-472.113842,40,8.249678
-571.728736,40,8.279179
-506.546161,40,8.443762
-452.670708,40,8.474007
-419.52545,40,8.504419
-526.925269,40,8.535052
-320.371794,40,8.697041
-523.037835,40,8.726506
-678.198239,40,8.75615
-546.921196,40,8.785203
-411.397358,40,8.947304
-531.125687,40,8.977561
-486.592409,40,9.007532
-809.680598,40,9.037347
-279.836855,40,9.273217
-363.764882,40,9.309952
-380.193285,40,9.346522
-498.905915,40,9.383718
