#{"t_start": 1595955243.1125689, "env_id": "lowthrust-v0"}
r,l,t
-1275.270676,40,0.412937
-1094.899439,40,0.447663
-1376.22568,40,0.480189
-870.299215,40,0.512611
-1127.332517,40,0.832159
-1147.121496,40,0.864507
-1121.874966,40,0.898191
-1223.676455,40,0.932875
-1295.544469,40,1.115561
-1036.522449,40,1.148047
-930.313581,40,1.17977
-1191.734563,40,1.212147
-931.333557,40,1.397943
-786.98072,40,1.428765
-1062.118648,40,1.46062
-820.759293,40,1.492938
-1033.869655,40,1.664176
-980.324026,40,1.695565
-891.370833,40,1.726712
-1046.644377,40,1.757839
-1142.19077,40,1.921059
-852.825711,40,1.951237
-871.257612,40,1.98067
-823.890485,40,2.009585
-1128.424862,40,2.172616
-955.033258,40,2.203939
-1178.716587,40,2.233759
-661.49943,40,2.262906
-959.24937,40,2.428149
-1010.568678,40,2.459438
-797.399068,40,2.48992
-717.230391,40,2.519606
-918.907613,40,2.688983
-966.403425,40,2.71993
-972.789935,40,2.75111
-1002.918506,40,2.781809
-1074.092228,40,2.943624
-956.123999,40,2.974477
-983.775866,40,3.00491
-1004.129355,40,3.034207
-1002.770953,40,3.196103
-1001.067548,40,3.227054
-860.605815,40,3.25683
-931.688351,40,3.286209
-677.724017,40,3.453995
-868.333162,40,3.484256
-880.293757,40,3.513585
-1049.319943,40,3.54296
-896.139472,40,3.704166
-628.262555,40,3.733845
-924.889481,40,3.762927
-722.53848,40,3.792069
-993.541503,40,3.954869
-733.396154,40,3.985119
-945.248833,40,4.01529
-912.326594,40,4.045192
-760.132724,40,4.217182
-772.462245,40,4.248194
-544.044596,40,4.278542
-810.450818,40,4.307787
-846.141831,40,4.475652
-770.052832,40,4.505753
-777.889484,40,4.536508
-924.144915,40,4.566117
-742.782613,40,4.731175
-746.609956,40,4.760684
-705.724441,40,4.789846
-947.550311,40,4.819528
-690.78221,40,4.982521
-790.81858,40,5.013796
-876.745518,40,5.043551
-744.695381,40,5.073155
-691.036596,40,5.234862
-741.686178,40,5.267635
-654.869406,40,5.300607
-690.233523,40,5.332629
-825.610859,40,5.501788
-641.007147,40,5.535436
-529.978826,40,5.566766
-717.659216,40,5.59589
-732.790894,40,5.759296
-780.630182,40,5.790803
-708.673058,40,5.819976
-705.138464,40,5.849777
-618.501159,40,6.014857
-586.431973,40,6.045483
-914.797549,40,6.076915
-598.264582,40,6.106551
-499.887354,40,6.270255
-761.128835,40,6.305874
-564.119606,40,6.34148
-614.974754,40,6.37742
-577.937563,40,6.546632
-900.074172,40,6.578799
-680.251693,40,6.609521
-430.543039,40,6.640487
-727.813666,40,6.802948
-622.861045,40,6.833113
-764.653163,40,6.862603
-677.477557,40,6.892128
-549.49754,40,7.057057
-393.781255,40,7.087511
-329.002003,40,7.117401
-926.097531,40,7.148531
-599.893576,40,7.312852
-689.906383,40,7.342315
-642.835297,40,7.371969
-671.000956,40,7.402025
-513.438971,40,7.56379
-562.922418,40,7.594684
-757.415658,40,7.623856
-431.013878,40,7.652986
-634.329901,40,7.824241
-445.06283,40,7.858835
-536.506332,40,7.892117
-719.402406,40,7.925083
-524.632985,40,8.103736
-567.509311,40,8.134222
-490.405199,40,8.164709
-437.731151,40,8.194252
-527.191492,40,8.358829
-457.575239,40,8.389017
-543.711753,40,8.419469
-458.922226,40,8.450102
-442.651139,40,8.612105
-604.115708,40,8.641567
-461.289719,40,8.671238
-539.467024,40,8.700249
-474.180977,40,8.862385
-465.340686,40,8.892618
-423.79381,40,8.922578
-600.609336,40,8.952413
-368.968123,40,9.188276
-526.920349,40,9.225011
-378.502282,40,9.261581
-386.727905,40,9.29878
-462.074657,40,9.501881
-408.44974,40,9.532762
-477.132476,40,9.562669
-445.338864,40,9.592918
