#{"t_start": 1595955243.0831819, "env_id": "lowthrust-v0"}
r,l,t
-1244.788934,40,0.442273
-1069.611112,40,0.476959
-1307.426511,40,0.509506
-974.531139,40,0.541909
-929.576966,40,0.861468
-1005.141167,40,0.893826
-1117.890691,40,0.927243
-1220.232296,40,0.96218
-892.459446,40,1.14487
-862.254505,40,1.177391
-926.279236,40,1.209082
-1022.301016,40,1.24145
-825.370282,40,1.427252
-878.48001,40,1.458094
-1011.8195,40,1.489922
-790.332532,40,1.522247
-1200.854806,40,1.693476
-954.20363,40,1.724884
-928.134354,40,1.756032
-892.3858,40,1.787129
-1066.849478,40,1.950333
-1123.715078,40,1.980578
-861.76756,40,2.010021
-879.317262,40,2.038895
-1022.264444,40,2.201953
-1124.959284,40,2.233267
-1065.129288,40,2.263061
-1080.922658,40,2.292241
-1105.004944,40,2.457471
-888.794529,40,2.488735
-985.565641,40,2.519252
-1160.547954,40,2.54894
-1199.440206,40,2.718292
-964.602747,40,2.749262
-844.811445,40,2.78044
-917.63921,40,2.81112
-959.568893,40,2.972934
-912.519787,40,3.003822
-869.44812,40,3.03424
-1178.566749,40,3.063541
-867.160422,40,3.225428
-883.457845,40,3.256376
-929.678187,40,3.286175
-912.015097,40,3.315521
-709.452531,40,3.483317
-1097.390556,40,3.513561
-879.569321,40,3.542917
-629.073835,40,3.572291
-864.298424,40,3.733494
-727.176498,40,3.763184
-838.96227,40,3.792253
-961.79454,40,3.821396
-965.870455,40,3.984191
-713.933642,40,4.014441
-896.610623,40,4.044613
-999.904615,40,4.074504
-916.13644,40,4.246502
-685.944313,40,4.277516
-752.255488,40,4.307881
-698.697909,40,4.337096
-672.625283,40,4.504952
-751.947746,40,4.535093
-810.361333,40,4.565824
-716.190343,40,4.595427
-881.13074,40,4.760466
-636.425461,40,4.790035
-909.388574,40,4.819159
-896.314176,40,4.848869
-838.054517,40,5.011829
-658.701931,40,5.043144
-656.968322,40,5.07288
-717.154213,40,5.102468
-1047.124368,40,5.264185
-787.024325,40,5.296945
-607.029998,40,5.329932
-696.502064,40,5.36193
-759.309825,40,5.531091
-728.768322,40,5.564731
-649.066622,40,5.59609
-843.536617,40,5.625196
-755.716535,40,5.788659
-675.973685,40,5.820114
-589.220753,40,5.849299
-796.069433,40,5.879109
-760.223071,40,6.044179
-977.502354,40,6.0748
-682.794397,40,6.106236
-618.549071,40,6.135877
-729.585636,40,6.299572
-638.486344,40,6.335196
-639.420232,40,6.370827
-709.106329,40,6.406967
-564.195418,40,6.575945
-796.366315,40,6.608091
-583.293261,40,6.638791
-701.790801,40,6.669819
-563.175279,40,6.832245
-585.724516,40,6.86241
-660.469112,40,6.891939
-755.458729,40,6.921458
-731.947222,40,7.086384
-740.572209,40,7.116839
-544.541947,40,7.146715
-771.297398,40,7.177887
-909.785562,40,7.342177
-762.92566,40,7.371606
-576.205172,40,7.401292
-430.643464,40,7.431339
-668.725304,40,7.593087
-695.651957,40,7.624007
-691.180297,40,7.653193
-532.206908,40,7.682281
-671.714166,40,7.853551
-529.352504,40,7.888158
-491.71559,40,7.921421
-649.657453,40,7.95439
-209.843888,40,8.133053
-659.896692,40,8.163523
-354.586005,40,8.194031
-460.647144,40,8.223567
-522.039805,40,8.388133
-383.671015,40,8.418378
-536.99111,40,8.448777
-578.830698,40,8.479419
-588.065981,40,8.641428
-478.402757,40,8.670885
-471.62666,40,8.700574
-524.122493,40,8.729585
-292.499441,40,8.891673
-580.412455,40,8.921935
-346.504544,40,8.951894
-444.046324,40,8.981749
-480.599156,40,9.217576
-518.424547,40,9.254318
-553.939116,40,9.290897
-469.733384,40,9.328081
-582.615527,40,9.531194
-326.650584,40,9.562078
-418.674234,40,9.592031
-378.506971,40,9.622239
-340.850948,40,9.785515
-259.624398,40,9.817742
-409.908864,40,9.850647
-379.183425,40,9.884037
-339.105414,40,10.048139
-328.548376,40,10.078096
-300.590685,40,10.108234
