#{"t_start": 1595955243.1048698, "env_id": "lowthrust-v0"}
r,l,t
-1022.632461,40,0.420846
-1078.223008,40,0.455341
-811.100476,40,0.48807
-1225.084717,40,0.520505
-1085.141344,40,0.840035
-1086.500449,40,0.872384
-1249.438869,40,0.905678
-1143.51872,40,0.940778
-1291.244294,40,1.123258
-1282.027515,40,1.155774
-1043.874409,40,1.187466
-903.543047,40,1.219833
-1022.976775,40,1.405645
-650.298515,40,1.436461
-695.800187,40,1.468323
-968.099472,40,1.500624
-899.112425,40,1.67185
-833.056573,40,1.70327
-1102.05256,40,1.73442
-1076.250625,40,1.765523
-859.593732,40,1.92871
-821.714713,40,1.958941
-970.295532,40,1.988394
-1078.471319,40,2.01728
-854.010822,40,2.180309
-983.595599,40,2.211646
-975.606572,40,2.241443
-1197.726539,40,2.270609
-867.566734,40,2.435852
-1284.300776,40,2.467121
-935.340647,40,2.497634
-997.894647,40,2.527323
-968.115928,40,2.696674
-912.105196,40,2.727651
-782.800666,40,2.758832
-1022.056784,40,2.789514
-828.837372,40,2.951319
-1105.520226,40,2.982196
-921.636718,40,3.012614
-1036.126149,40,3.041938
-843.164918,40,3.20381
-669.589553,40,3.234762
-841.497655,40,3.264532
-816.024904,40,3.293916
-713.616325,40,3.461721
-981.106079,40,3.491943
-625.401648,40,3.521292
-1024.331518,40,3.550655
-889.035436,40,3.711861
-1039.340835,40,3.741566
-715.615217,40,3.770626
-640.537397,40,3.799768
-918.640056,40,3.962573
-790.53237,40,3.992838
-866.73162,40,4.022977
-958.268608,40,4.052877
-759.804452,40,4.224887
-801.129294,40,4.255887
-755.879361,40,4.286247
-937.467798,40,4.315478
-663.392343,40,4.483357
-673.266996,40,4.513467
-713.41334,40,4.544205
-1021.561544,40,4.573809
-732.599297,40,4.738881
-766.99347,40,4.76842
-872.380896,40,4.79754
-651.666554,40,4.827233
-787.667946,40,4.990205
-803.578235,40,5.021517
-653.671251,40,5.051253
-867.359641,40,5.080835
-1012.198107,40,5.242559
-814.449973,40,5.275328
-760.22057,40,5.308449
-549.101213,40,5.340505
-643.349794,40,5.509733
-743.642855,40,5.543308
-410.155569,40,5.574465
-801.72066,40,5.603571
-526.693295,40,5.767033
-425.191825,40,5.798498
-841.078085,40,5.827677
-606.617046,40,5.857488
-624.070946,40,6.022559
-918.39446,40,6.053201
-752.39222,40,6.084785
-689.551453,40,6.114383
-764.833256,40,6.277974
-738.014301,40,6.313571
-746.004475,40,6.349179
-610.07618,40,6.385129
-613.730089,40,6.554544
-671.792491,40,6.586478
-785.583454,40,6.617215
-685.170472,40,6.648187
-520.898952,40,6.810631
-571.914758,40,6.840806
-498.935271,40,6.870322
-552.206347,40,6.899819
-557.614764,40,7.064758
-671.18757,40,7.09522
-904.581572,40,7.125096
-542.786764,40,7.156263
-808.797781,40,7.320557
-440.839587,40,7.349997
-691.031624,40,7.379672
-524.51606,40,7.409722
-535.293831,40,7.571472
-439.621375,40,7.602377
-610.785152,40,7.631567
-433.2191,40,7.660676
-762.05215,40,7.831923
-589.314549,40,7.866533
-522.261874,40,7.899819
-782.451047,40,7.932784
-437.292068,40,8.111408
-583.869127,40,8.141901
-530.704508,40,8.17241
-514.137594,40,8.20194
-476.656929,40,8.366504
-740.520586,40,8.396731
-569.262444,40,8.427157
-582.124016,40,8.457803
-203.779924,40,8.619801
-437.668018,40,8.649253
-518.384708,40,8.678938
-511.394685,40,8.707955
-574.333009,40,8.870059
-631.821139,40,8.900317
-354.39262,40,8.930287
-409.212249,40,8.960122
-387.509247,40,9.195969
-568.287683,40,9.232702
-513.41973,40,9.269296
-492.579594,40,9.30647
-459.392561,40,9.509562
-569.291597,40,9.540454
-367.74719,40,9.570406
-419.441852,40,9.600611
-297.063019,40,9.763895
-364.141775,40,9.796113
-482.654778,40,9.829014
-491.110091,40,9.862203
-351.2669,40,10.026511
-483.380838,40,10.056471
-323.583547,40,10.086602
-308.877597,40,10.116647
-251.896313,40,10.282284
-453.635778,40,10.313079
-365.318896,40,10.342615
-317.307948,40,10.371729
-455.855275,40,10.536152
-413.211652,40,10.566369
-393.16755,40,10.59583
-400.330401,40,10.626008
-326.821248,40,10.788177
-207.416429,40,10.818946
-232.412257,40,10.849372
-266.55384,40,10.879902
-361.814123,40,11.042182
-356.665731,40,11.073054
-232.573014,40,11.103981
-472.878286,40,11.134626
-224.256171,40,11.299913
-383.706578,40,11.330559
-296.251767,40,11.361946
-465.709528,40,11.3926
-242.423948,40,11.554751
-292.176911,40,11.584682
-258.955923,40,11.613461
-272.219567,40,11.642221
-266.119374,40,11.802471
-290.28848,40,11.832891
-303.938814,40,11.862966
-322.781362,40,11.892498
-201.418401,40,12.053847
-347.26953,40,12.083974
-227.893876,40,12.113077
-324.733766,40,12.142476
-278.868305,40,12.306706
-317.308752,40,12.336714
-312.165714,40,12.365994
-174.576022,40,12.395187
-265.133274,40,12.557694
-273.208001,40,12.588338
-258.968838,40,12.617438
-80.730647,40,12.646268
-182.293179,40,12.809596
-151.947822,40,12.840404
-183.781163,40,12.871019
-294.408214,40,12.90025
-329.138304,40,13.06233
-161.947233,40,13.093459
-152.111111,40,13.123712
-258.010884,40,13.152581
-177.173332,40,13.315249
-134.55824,40,13.345619
-282.488791,40,13.375032
-320.928425,40,13.405308
-236.703043,40,13.566353
-189.927102,40,13.597282
-143.314248,40,13.627119
-150.345287,40,13.656414
-207.547956,40,13.819039
-167.215123,40,13.848942
-198.108889,40,13.877858
-168.840945,40,13.907147
-204.080059,40,14.070474
-207.390642,40,14.101481
-250.52528,40,14.131074
-194.500151,40,14.161543
-155.302838,40,14.323547
-143.006182,40,14.353497
-221.48107,40,14.383999
-99.549296,40,14.413786
-196.04936,40,14.574089
-106.152695,40,14.604034
-196.73043,40,14.634169
-106.745569,40,14.66465
-218.389501,40,14.831899
-273.73111,40,14.8636
-170.474907,40,14.893774
-223.992658,40,14.923602
-151.103115,40,15.083788
-155.597756,40,15.113997
-108.338591,40,15.143628
-267.822925,40,15.173647
-197.530976,40,15.338424
-145.320389,40,15.369338
-194.945987,40,15.400002
-124.474589,40,15.429491
-113.642994,40,15.59265
-90.601881,40,15.62397
-180.344772,40,15.654467
-137.491768,40,15.684712
-92.14426,40,15.8493
-196.997177,40,15.880026
-139.071316,40,15.910915
-179.551723,40,15.941285
-159.13343,40,16.106606
-143.431318,40,16.137513
-113.338457,40,16.169089
-167.061881,40,16.198268
-129.63731,40,16.373788
-82.795257,40,16.40521
-159.81716,40,16.434767
-124.07053,40,16.464445
-90.433574,40,16.629763
-58.30468,40,16.660807
-123.543266,40,16.690362
