#     t                x                y                z                vx               vy               vz               m
      0.74997400      -0.45839155      -0.87450788      -0.00600698       0.90195161      -0.39884110      -0.01698846       0.90396996 
      0.76497348      -0.44480468      -0.88037934      -0.00626440       0.90967581      -0.38400448      -0.01733544       0.90204935 
      0.77997296      -0.43110338      -0.88602752      -0.00652699       0.91722293      -0.36904037      -0.01767701       0.90012875 
      0.79497244      -0.41728988      -0.89144960      -0.00679467       0.92458995      -0.35394991      -0.01801267       0.89820815 
      0.80997192      -0.40336730      -0.89664450      -0.00706733       0.93177512      -0.33873522      -0.01834195       0.89628756 
      0.82497140      -0.38933842      -0.90161048      -0.00734488       0.93877610      -0.32339804      -0.01866437       0.89436696 
      0.83997088      -0.37520602      -0.90634573      -0.00762720       0.94559037      -0.30794006      -0.01897945       0.89244636 
      0.85497036      -0.36097287      -0.91084829      -0.00791419       0.95221523      -0.29236294      -0.01928670       0.89052576 
      0.86996984      -0.34664149      -0.91511564      -0.00820575       0.95864736      -0.27666801      -0.01958561       0.88860516 
      0.88496932      -0.33221519      -0.91914691      -0.00850171       0.96488476      -0.26085755      -0.01987574       0.88668456 
      0.89996880      -0.31769690      -0.92294041      -0.00880195       0.97092464      -0.24493333      -0.02015660       0.88476396 
      0.91496828      -0.30308959      -0.92649446      -0.00910633       0.97676411      -0.22889717      -0.02042775       0.88284335 
      0.92996776      -0.28839614      -0.92980692      -0.00941470       0.98239982      -0.21275075      -0.02068870       0.88092275 
      0.94496724      -0.27361957      -0.93287595      -0.00972692       0.98782856      -0.19649590      -0.02093902       0.87900215 
      0.95996672      -0.25876321      -0.93570061      -0.01004281       0.99304778      -0.18013485      -0.02117827       0.87708155 
      0.97496620      -0.24383024      -0.93827931      -0.01036219       0.99805432      -0.16366961      -0.02140606       0.87516095 
      0.98996568      -0.22882385      -0.94061051      -0.01068490       1.00284497      -0.14710223      -0.02162197       0.87324035 
      1.00496516      -0.21374710      -0.94269194      -0.01101076       1.00741577      -0.13043453      -0.02182557       0.87131975 
      1.01996464      -0.19860342      -0.94452248      -0.01133958       1.01176371      -0.11366884      -0.02201649       0.86939915 
      1.03496412      -0.18339627      -0.94610107      -0.01167117       1.01588575      -0.09680754      -0.02219440       0.86747854 
      1.04996360      -0.16812908      -0.94742628      -0.01200533       1.01977844      -0.07985298      -0.02235897       0.86555794 
      1.06496308      -0.15280529      -0.94849675      -0.01234184       1.02343833      -0.06280752      -0.02250983       0.86363734 
      1.07996256      -0.13742820      -0.94931004      -0.01268053       1.02686087      -0.04567329      -0.02264664       0.86171674 
      1.09496204      -0.12200161      -0.94986585      -0.01302115       1.03004343      -0.02845322      -0.02276914       0.85979614 
      1.10996152      -0.10652914      -0.95016298      -0.01336351       1.03298253      -0.01114999      -0.02287707       0.85787554 
