#{"t_start": 1602351007.3093865, "env_id": "lowthrust-v0"}
r,l,t
-1005.590663,40,0.437568
-884.750322,40,0.470544
-1094.858773,40,0.502796
-1040.009752,40,0.535717
-931.072619,40,0.792582
-954.500206,40,0.826632
-1125.84844,40,0.860704
-1178.506731,40,0.893812
-933.809669,40,1.038949
-987.682815,40,1.071951
-861.715905,40,1.105163
-1002.092281,40,1.138242
-971.733263,40,1.283532
-1099.977567,40,1.31776
-1051.828097,40,1.352437
-1110.559352,40,1.387143
-1004.016476,40,1.537158
-1016.640723,40,1.570431
-1332.977914,40,1.603954
-1080.807357,40,1.637272
-921.223434,40,1.780982
-1001.613713,40,1.812037
-830.336133,40,1.842472
-1209.524975,40,1.871898
-934.644375,40,2.013403
-1192.040372,40,2.04481
-752.314471,40,2.075054
-926.020027,40,2.104563
-1168.090798,40,2.245774
-837.336026,40,2.276041
-854.605848,40,2.306786
-763.828541,40,2.33753
-837.817013,40,2.479835
-828.872091,40,2.51123
-931.859343,40,2.543849
-1019.250898,40,2.573669
-942.243141,40,2.715234
-632.269356,40,2.746456
-1239.754849,40,2.776656
-812.00745,40,2.807793
-765.583363,40,2.950547
-1081.314245,40,2.981745
-892.934905,40,3.012025
-941.073291,40,3.042687
-850.550663,40,3.186168
-683.682621,40,3.217335
-945.897495,40,3.248386
-697.686917,40,3.278489
-721.452606,40,3.419878
-762.247721,40,3.450752
-714.599273,40,3.480261
-843.581835,40,3.511126
-755.420036,40,3.656902
-1065.422571,40,3.687411
-605.882919,40,3.717802
-1026.325005,40,3.747692
-771.691386,40,3.894096
-800.52162,40,3.925617
-652.469575,40,3.95552
-739.086736,40,3.984832
-634.130371,40,4.126642
-608.729942,40,4.158341
-641.825757,40,4.189572
-759.99823,40,4.220709
-598.777601,40,4.362605
-726.147896,40,4.393018
-801.686171,40,4.422502
-856.822851,40,4.452591
-600.98304,40,4.599937
-757.729599,40,4.630157
-608.090599,40,4.66021
-604.053072,40,4.690597
-599.054174,40,4.832365
-657.107277,40,4.863438
-659.169074,40,4.893514
-702.719511,40,4.923667
-447.387401,40,5.067468
-524.575456,40,5.098592
-782.842543,40,5.129749
-649.435287,40,5.15865
-642.746677,40,5.302471
-611.029759,40,5.334464
-698.728099,40,5.365241
-744.896588,40,5.395372
-440.602411,40,5.538076
-495.980942,40,5.570058
-502.932135,40,5.600127
-677.789,40,5.631183
-478.904939,40,5.77459
-787.921039,40,5.806316
-662.667666,40,5.837229
