#{"t_start": 1595955243.0956128, "env_id": "lowthrust-v0"}
r,l,t
-1384.935132,40,0.429882
-1152.965558,40,0.464559
-1051.44109,40,0.497124
-1209.795116,40,0.529541
-1199.59354,40,0.849096
-945.258516,40,0.881451
-1372.829887,40,0.914887
-1241.327651,40,0.949799
-953.461143,40,1.132488
-1101.752713,40,1.164989
-1049.622246,40,1.19672
-1039.661529,40,1.229073
-1154.806745,40,1.41489
-1107.281938,40,1.445704
-1072.989132,40,1.477568
-1219.326864,40,1.509819
-705.262443,40,1.681087
-1193.05197,40,1.712474
-928.741369,40,1.743631
-1020.654504,40,1.774774
-873.586366,40,1.937923
-927.676317,40,1.968164
-885.125588,40,1.997621
-1103.530263,40,2.026527
-1024.563428,40,2.189531
-892.933753,40,2.22087
-1183.922621,40,2.25069
-986.693854,40,2.279837
-875.466133,40,2.445088
-905.754629,40,2.47633
-763.313023,40,2.506875
-1241.44115,40,2.53655
-862.710573,40,2.705904
-938.645334,40,2.736874
-924.354248,40,2.768053
-928.660108,40,2.798711
-954.354164,40,2.960553
-847.991311,40,2.991441
-1102.075031,40,3.021828
-879.14665,40,3.051168
-868.961918,40,3.213046
-838.271515,40,3.243965
-1005.885185,40,3.273766
-1110.666257,40,3.303135
-1066.484217,40,3.470952
-879.353826,40,3.501198
-759.930893,40,3.530544
-1124.396052,40,3.559897
-809.70137,40,3.721072
-1109.314055,40,3.750814
-959.437638,40,3.779876
-734.617878,40,3.809019
-686.114616,40,3.971801
-734.030079,40,4.002057
-785.600539,40,4.032218
-947.230008,40,4.06209
-815.348656,40,4.234107
-820.158585,40,4.265118
-862.409189,40,4.295492
-913.528229,40,4.324715
-694.618263,40,4.492585
-934.717212,40,4.522697
-789.285275,40,4.553429
-756.781695,40,4.583042
-815.671109,40,4.748121
-843.914512,40,4.777668
-739.152933,40,4.806768
-631.813797,40,4.836483
-998.045476,40,4.999446
-866.638758,40,5.030747
-835.466309,40,5.060515
-629.164595,40,5.090102
-682.287646,40,5.251811
-731.700288,40,5.284573
-796.197107,40,5.317541
-434.116579,40,5.349554
-725.393087,40,5.518717
-641.888181,40,5.552364
-714.899115,40,5.583706
-723.48725,40,5.612811
-651.544941,40,5.776256
-823.216856,40,5.807725
-867.266452,40,5.836914
-921.569669,40,5.866718
-565.070479,40,6.031801
-522.373976,40,6.062429
-523.068723,40,6.093859
-569.578816,40,6.12349
-597.50207,40,6.287235
-670.677247,40,6.322824
-876.055711,40,6.358444
-671.697967,40,6.394382
-602.977379,40,6.563551
-640.843212,40,6.59572
-513.440487,40,6.626434
-588.914612,40,6.657455
-559.785696,40,6.819862
-501.988425,40,6.850024
-515.227355,40,6.879563
-564.395774,40,6.909055
-521.946199,40,7.074007
-669.740679,40,7.104454
-655.899417,40,7.134331
-624.86079,40,7.165491
-743.509983,40,7.329777
-745.972419,40,7.359235
-663.451921,40,7.388879
-441.665918,40,7.418964
-594.133736,40,7.580684
-753.004567,40,7.611624
-562.365059,40,7.640789
-810.607518,40,7.669927
-541.543706,40,7.841141
-454.821003,40,7.875751
-634.700951,40,7.90905
-495.06733,40,7.942021
-571.294911,40,8.120657
-486.801777,40,8.151115
-445.471804,40,8.181657
-630.828772,40,8.211158
-641.354936,40,8.375727
-577.865702,40,8.405993
-592.153378,40,8.436388
-644.267588,40,8.467012
-612.902366,40,8.629017
-638.479842,40,8.658509
-504.132251,40,8.688144
-505.416061,40,8.71718
-344.716204,40,8.879296
-476.794548,40,8.909559
-665.396677,40,8.939533
-306.852149,40,8.969375
-436.015995,40,9.205202
-362.021837,40,9.241907
-534.024245,40,9.278533
-459.840351,40,9.315699
-535.752925,40,9.518777
-287.550832,40,9.549706
-175.14014,40,9.579638
-411.804603,40,9.609852
-329.291344,40,9.77316
-635.430505,40,9.805336
-550.201866,40,9.838239
-482.221219,40,9.871455
-420.826134,40,10.035735
-414.069514,40,10.065691
-343.005569,40,10.095812
-303.73036,40,10.125856
-362.948483,40,10.291519
-295.530762,40,10.322272
