#{"t_start": 1602351007.3214462, "env_id": "lowthrust-v0"}
r,l,t
-844.802014,40,0.425518
-1233.9474,40,0.458525
-1198.298495,40,0.49077
-999.916938,40,0.523695
-1063.776311,40,0.780562
-1380.842854,40,0.814607
-1328.951401,40,0.848676
-1004.263924,40,0.881804
-796.847894,40,1.026926
-1098.758782,40,1.059942
-843.683694,40,1.093136
-1005.622656,40,1.126229
-1052.934041,40,1.271516
-1001.943048,40,1.305743
-1367.905024,40,1.340417
-1077.486384,40,1.375129
-1056.542387,40,1.525158
-985.955779,40,1.558412
-964.213912,40,1.591927
-728.48551,40,1.625256
-1086.870794,40,1.76896
-966.100928,40,1.80003
-909.430707,40,1.830462
-992.066383,40,1.859861
-870.763095,40,2.00139
-937.117381,40,2.032784
-972.893071,40,2.063049
-913.798895,40,2.092566
-1176.931811,40,2.233775
-965.232393,40,2.264035
-933.018305,40,2.294779
-1058.495242,40,2.325527
-992.263516,40,2.467756
-1036.673827,40,2.49917
-756.061501,40,2.531823
-882.469243,40,2.561654
-833.877551,40,2.703208
-970.410819,40,2.734438
-738.30313,40,2.764604
-808.402897,40,2.795728
-521.43771,40,2.938536
-1194.249015,40,2.969721
-1168.597948,40,2.999977
-1014.154546,40,3.030671
-935.474093,40,3.174147
-840.356833,40,3.205292
-995.824684,40,3.236383
-814.899141,40,3.266497
-884.153155,40,3.40787
-806.722207,40,3.438781
-956.891675,40,3.468252
-470.22479,40,3.499076
-979.284699,40,3.644899
-801.178879,40,3.675383
-526.791122,40,3.705803
-980.756049,40,3.7357
-582.566931,40,3.882102
-817.793166,40,3.913607
-671.270291,40,3.943518
-618.049433,40,3.972821
-874.664148,40,4.114561
-641.45763,40,4.146348
-486.138937,40,4.177526
-765.893427,40,4.208673
-794.686774,40,4.350586
-660.243652,40,4.381022
-911.901831,40,4.410474
-499.28558,40,4.440567
-624.322673,40,4.587924
-571.800328,40,4.618146
-606.28752,40,4.648169
-627.681265,40,4.678559
-642.724171,40,4.820316
-685.023162,40,4.851415
-650.706677,40,4.881485
-441.611932,40,4.911616
-660.476149,40,5.055445
-504.475291,40,5.086559
-551.494744,40,5.117723
-675.542253,40,5.14665
-591.181934,40,5.290477
-513.342379,40,5.322445
-622.958636,40,5.353204
-629.376279,40,5.383365
-505.08876,40,5.526089
-698.331658,40,5.558008
-808.152133,40,5.588117
-489.279534,40,5.619145
-583.831372,40,5.762556
-490.132613,40,5.794311
-645.631989,40,5.825246
-440.42829,40,5.85636
-667.887707,40,5.99811
-464.951753,40,6.029263
-523.757635,40,6.060094
-859.168944,40,6.090614
-545.640682,40,6.230786
-448.531754,40,6.261831
-657.258729,40,6.293391
-479.496997,40,6.3232
-633.801913,40,6.465752
-651.946631,40,6.496468
-569.908477,40,6.526125
-634.783858,40,6.557238
-502.923217,40,6.697505
-572.102102,40,6.728379
-557.829612,40,6.758983
-401.094051,40,6.789494
-592.556799,40,6.931215
-410.768444,40,6.962178
-592.583915,40,6.992388
-381.915715,40,7.022586
-544.675913,40,7.162356
-489.066331,40,7.193058
-510.298033,40,7.223265
-495.722346,40,7.252753
-353.133748,40,7.394861
-567.822525,40,7.425573
-344.0951,40,7.456643
-587.52813,40,7.487392
-470.557514,40,7.628326
-396.481819,40,7.659495
-222.40974,40,7.689236
-414.095744,40,7.719074
-299.995424,40,7.8627
-368.852123,40,7.893587
-584.250862,40,7.923172
-179.40373,40,7.953565
-399.114115,40,8.094958
-290.187504,40,8.125905
-401.670446,40,8.156917
-444.288683,40,8.186295
-297.86014,40,8.32936
-288.010397,40,8.360017
-457.21178,40,8.389743
-336.091342,40,8.419717
-397.698794,40,8.563492
-296.365986,40,8.594962
-267.780229,40,8.624682
-326.421429,40,8.654582
-324.231183,40,8.796978
-302.372906,40,8.827363
-402.317151,40,8.858767
-390.140328,40,8.889746
-207.299899,40,9.033814
-269.372412,40,9.065767
-239.669955,40,9.096145
-311.608354,40,9.126417
-335.752681,40,9.270108
-274.315461,40,9.301689
-246.914438,40,9.333156
-365.9293,40,9.362894
-380.859868,40,9.506597
-454.822883,40,9.541938
-259.169687,40,9.573045
-350.35815,40,9.602487
-250.211322,40,9.743484
-346.372385,40,9.773641
-279.428668,40,9.802892
-183.94271,40,9.832609
-323.963473,40,9.973045
-126.086226,40,10.004433
-311.561537,40,10.035207
-372.022565,40,10.066309
-143.707482,40,10.208378
-205.32031,40,10.239831
-235.77194,40,10.270843
-265.081988,40,10.301291
-386.678365,40,10.443336
-237.166604,40,10.474227
-167.722107,40,10.504709
-255.178484,40,10.535378
-185.875623,40,10.679501
-315.185586,40,10.71146
-217.909195,40,10.740986
-348.330352,40,10.770206
-182.651655,40,10.912225
-174.269942,40,10.943578
-155.791099,40,10.97525
-208.405409,40,11.005804
-137.976291,40,11.148352
-203.146244,40,11.179235
-135.234603,40,11.208927
-173.590997,40,11.238271
-143.17364,40,11.37868
-169.02859,40,11.409145
-175.992151,40,11.440178
-197.211432,40,11.470562
-243.283114,40,11.614137
-170.986649,40,11.64635
-156.698723,40,11.67756
-205.548798,40,11.707368
-166.162616,40,11.849101
-163.56193,40,11.880137
-252.749137,40,11.909759
-27.159855,40,11.939573
-172.699917,40,12.081059
-206.246062,40,12.111534
-121.4346,40,12.140966
-179.905868,40,12.171924
-141.413435,40,12.313628
-194.919639,40,12.344465
-104.437739,40,12.374475
-129.23542,40,12.404866
-194.154048,40,12.547568
-97.128022,40,12.580082
-171.834918,40,12.610205
-242.745059,40,12.641671
-38.475386,40,12.783863
-161.130326,40,12.815784
-141.942308,40,12.846043
-216.676681,40,12.87601
-349.709656,40,13.023374
-150.077385,40,13.054451
-164.875178,40,13.08462
-155.495168,40,13.114422
-103.814912,40,13.259057
-105.510491,40,13.291583
-149.710366,40,13.321323
-223.614444,40,13.350833
-166.0379,40,13.496084
-157.673315,40,13.527458
-152.399649,40,13.558775
-147.161721,40,13.588862
-46.830439,40,13.731075
-109.961332,40,13.762201
-163.11384,40,13.793131
-84.723557,40,13.823882
-50.468172,40,13.967
-188.260907,40,13.998328
-168.937562,40,14.028591
-32.252805,40,14.057651
-101.299493,40,14.19899
-121.92327,40,14.228647
-197.534283,40,14.259293
-70.197872,40,14.290118
-133.98237,40,14.431904
-103.187825,40,14.463649
-147.538638,40,14.494292
-118.659066,40,14.524277
-161.902424,40,14.667503
-132.252682,40,14.699866
-142.050969,40,14.73007
-132.776304,40,14.760618
-154.144216,40,14.90484
-120.694074,40,14.936208
-121.95326,40,14.965585
-52.406506,40,14.99673
-80.05701,40,15.138239
-103.866707,40,15.169408
-179.664991,40,15.199933
-84.929797,40,15.229332
-78.30455,40,15.36992
-88.258972,40,15.401472
-122.186804,40,15.432298
-122.188977,40,15.462388
-29.226866,40,15.605515
-113.015093,40,15.637324
-94.312195,40,15.668349
-71.220674,40,15.699294
-88.774121,40,15.842346
-126.50296,40,15.871516
-46.42614,40,15.900945
-96.628351,40,15.930665
-89.356355,40,16.071893
-77.433257,40,16.103314
-142.719635,40,16.133862
-70.005361,40,16.164438
-124.105993,40,16.30584
-61.446224,40,16.337955
-91.092231,40,16.368896
-59.840698,40,16.399028
-66.400716,40,16.541426
-63.105603,40,16.572247
