#{"t_start": 1595955243.0821836, "env_id": "lowthrust-v0"}
r,l,t
-1188.655856,40,0.443304
-1315.035269,40,0.477975
-1002.249677,40,0.51055
-1346.209042,40,0.542945
-1107.025297,40,0.862503
-1117.807185,40,0.894849
-1153.169488,40,0.928296
-1141.492181,40,0.963214
-839.066139,40,1.145908
-592.360305,40,1.178422
-1162.531671,40,1.210129
-885.186356,40,1.242467
-1083.983934,40,1.428312
-796.608229,40,1.459093
-1166.595436,40,1.490981
-868.520196,40,1.52327
-1076.179613,40,1.694494
-1043.62134,40,1.725893
-857.395372,40,1.757067
-765.55686,40,1.788142
-890.286148,40,1.951373
-1119.258635,40,1.981607
-825.682389,40,2.011042
-1075.952965,40,2.039927
-827.502458,40,2.202955
-1288.388615,40,2.234295
-925.376347,40,2.264085
-934.379144,40,2.293268
-819.161265,40,2.458515
-833.394863,40,2.489772
-857.497675,40,2.520289
-1111.523053,40,2.549974
-762.712625,40,2.719324
-677.833021,40,2.750293
-919.519238,40,2.781482
-669.327875,40,2.812132
-1128.628695,40,2.973986
-1136.623988,40,3.004826
-702.145601,40,3.035266
-954.824951,40,3.06458
-691.591939,40,3.226488
-1003.170738,40,3.257386
-781.956584,40,3.287174
-915.409054,40,3.316536
-933.315551,40,3.484352
-834.464581,40,3.514586
-934.093166,40,3.543973
-947.441923,40,3.57331
-717.307183,40,3.734506
-812.132526,40,3.764213
-948.478081,40,3.793277
-1168.527048,40,3.822425
-1084.027577,40,3.985218
-1021.632605,40,4.015475
-958.346114,40,4.045619
-593.273129,40,4.07552
-766.320124,40,4.247534
-806.03503,40,4.278534
-883.252572,40,4.308906
-864.746212,40,4.338146
-807.760914,40,4.505998
-743.481712,40,4.536115
-866.585322,40,4.566843
-864.771867,40,4.596447
-900.633749,40,4.761526
-624.609144,40,4.79107
-900.668855,40,4.820158
-908.476769,40,4.849894
-686.685471,40,5.01286
-710.735016,40,5.044148
-646.452538,40,5.073919
-784.546725,40,5.103484
-645.56036,40,5.265203
-616.034238,40,5.297955
-810.039082,40,5.33095
-849.922888,40,5.362963
-798.997812,40,5.532101
-604.049929,40,5.565777
-668.258133,40,5.597136
-671.575621,40,5.62622
-821.994731,40,5.789653
-795.014229,40,5.821174
-526.684789,40,5.850343
-909.510828,40,5.880146
-615.540489,40,6.045229
-602.541326,40,6.075844
-758.991638,40,6.107308
-640.267293,40,6.136924
-566.86053,40,6.300636
-599.356318,40,6.336235
-695.061201,40,6.37185
-652.383854,40,6.407793
-652.225871,40,6.576948
-716.100656,40,6.609142
-753.455025,40,6.63981
-654.160823,40,6.670835
-529.06775,40,6.833249
-469.991739,40,6.863463
-595.626615,40,6.892981
-624.697948,40,6.922464
-686.682783,40,7.08738
-511.704411,40,7.117875
