#{"t_start": 1602351007.2688694, "env_id": "lowthrust-v0"}
r,l,t
-1238.4426,40,0.478077
-1043.748197,40,0.511079
-1116.48688,40,0.543324
-884.081857,40,0.576273
-1262.974769,40,0.833128
-1042.170805,40,0.867365
-1045.011513,40,0.9015
-1186.047516,40,0.934542
-912.684698,40,1.079487
-1198.048169,40,1.112686
-1011.458469,40,1.145902
-1290.696276,40,1.178988
-934.67354,40,1.324055
-1101.239277,40,1.3585
-1103.519286,40,1.39317
-1171.030089,40,1.427889
-1208.733124,40,1.577691
-1059.890057,40,1.61099
-824.383279,40,1.64451
-867.791929,40,1.677832
-827.902418,40,1.821496
-999.63738,40,1.852561
-920.859638,40,1.883008
-793.240494,40,1.912423
-918.11981,40,2.053912
-907.258232,40,2.08533
-1027.580091,40,2.115579
-987.092841,40,2.145106
-781.634423,40,2.286312
-900.788572,40,2.316565
-729.67951,40,2.347305
-713.392779,40,2.378076
-1105.651061,40,2.520333
-837.643703,40,2.551746
-881.696958,40,2.584376
-1228.084328,40,2.614199
-942.747474,40,2.755744
-1055.35288,40,2.786979
-958.992861,40,2.817179
-689.03223,40,2.848318
-904.376021,40,2.991091
-1067.730611,40,3.02227
-982.275604,40,3.052545
-747.721992,40,3.083242
-594.87237,40,3.226727
-946.697761,40,3.25786
-932.503656,40,3.288927
-729.029347,40,3.319031
-872.578372,40,3.460413
-1101.394853,40,3.491301
-722.19987,40,3.520815
-888.84229,40,3.55165
-818.523791,40,3.697409
-943.26597,40,3.727934
-575.818271,40,3.758341
-895.741169,40,3.788238
-755.191729,40,3.934642
-859.458646,40,3.966128
-725.595754,40,3.996063
-643.554268,40,4.025366
-594.408937,40,4.167146
-677.934595,40,4.198866
-860.22165,40,4.230093
-743.763483,40,4.261241
-756.717061,40,4.403164
-629.30538,40,4.433541
-662.299463,40,4.463007
-571.793052,40,4.493118
-499.409703,40,4.640474
-684.947444,40,4.670687
-695.003942,40,4.700742
-722.754958,40,4.731124
-708.925204,40,4.872908
-586.340387,40,4.903963
-724.593013,40,4.934036
-647.596782,40,4.964176
-601.873674,40,5.108004
-589.796038,40,5.139097
-616.917134,40,5.170274
-589.53663,40,5.199194
-601.047295,40,5.343052
-618.465815,40,5.374989
-544.087079,40,5.405782
-623.008118,40,5.435902
-306.844606,40,5.578596
-523.501696,40,5.610577
-498.847713,40,5.640655
-516.725952,40,5.671731
-600.165111,40,5.815087
-754.845041,40,5.846853
-650.149938,40,5.87777
-690.605897,40,5.908886
-608.044141,40,6.050682
-433.280061,40,6.081838
-346.370921,40,6.112643
-574.975287,40,6.143186
-532.116002,40,6.283317
-466.719013,40,6.314388
-604.737314,40,6.345915
-494.041318,40,6.375763
-555.911467,40,6.51831
-615.939394,40,6.549034
-588.535776,40,6.578673
-503.118261,40,6.609788
-431.246561,40,6.750065
-400.452493,40,6.780924
-362.493738,40,6.811498
-455.701947,40,6.842036
-471.790716,40,6.983774
-667.77888,40,7.014739
-420.151744,40,7.044937
-479.320457,40,7.075158
-588.768227,40,7.214895
