         # x	           y	           z	          vx	          vy	          vz
  -0.1970129	  -0.9386875	  -0.0084875	   1.0129556	  -0.1175173	  -0.0129832
  -0.1801007	  -0.9404980	  -0.0087026	   1.0165253	  -0.0997286	  -0.0128204
  -0.1631316	  -0.9420110	  -0.0089148	   1.0197901	  -0.0818217	  -0.0126529
  -0.1631316	  -0.9420110	  -0.0089148	   1.0274415	  -0.0767167	  -0.0136658
  -0.1459831	  -0.9431396	  -0.0091412	   1.0303966	  -0.0586940	  -0.0134932
  -0.1287879	  -0.9439668	  -0.0093646	   1.0330371	  -0.0405584	  -0.0133153
  -0.1115515	  -0.9444909	  -0.0095850	   1.0353588	  -0.0223149	  -0.0131322
  -0.0942790	  -0.9447100	  -0.0098023	   1.0373574	  -0.0039689	  -0.0129440
  -0.0769759	  -0.9446226	  -0.0100164	   1.0390290	   0.0144742	  -0.0127505
  -0.0596477	  -0.9442271	  -0.0102272	   1.0403695	   0.0330089	  -0.0125519
  -0.0423000	  -0.9435219	  -0.0104347	   1.0413750	   0.0516293	  -0.0123481
  -0.0249383	  -0.9425057	  -0.0106388	   1.0420415	   0.0703295	  -0.0121391
  -0.0075684	  -0.9411772	  -0.0108393	   1.0423653	   0.0891035	  -0.0119250
  -0.0075684	  -0.9411772	  -0.0108393	   1.0509253	   0.0945101	  -0.0134464
   0.0099467	  -0.9394452	  -0.0110616	   1.0509013	   0.1133534	  -0.0132269
   0.0274585	  -0.9373986	  -0.0112802	   1.0505244	   0.1322613	  -0.0130019
   0.0449610	  -0.9350363	  -0.0114950	   1.0497907	   0.1512270	  -0.0127712
   0.0624483	  -0.9323576	  -0.0117058	   1.0486967	   0.1702433	  -0.0125349
   0.0799143	  -0.9293615	  -0.0119127	   1.0472391	   0.1893031	  -0.0122931
   0.0973530	  -0.9260475	  -0.0121156	   1.0454145	   0.2083991	  -0.0120458
   0.1147582	  -0.9224149	  -0.0123142	   1.0432198	   0.2275237	  -0.0117930
   0.1321237	  -0.9184635	  -0.0125086	   1.0406520	   0.2466694	  -0.0115349
   0.1494433	  -0.9141928	  -0.0126987	   1.0377083	   0.2658281	  -0.0112714
   0.1494433	  -0.9141928	  -0.0126987	   1.0464393	   0.2708993	  -0.0130954
   0.1668562	  -0.9095183	  -0.0129147	   1.0431153	   0.2900641	  -0.0128263
   0.1842105	  -0.9045244	  -0.0131262	   1.0394065	   0.3092274	  -0.0125512
   0.2014997	  -0.8992112	  -0.0133330	   1.0353106	   0.3283805	  -0.0122702
   0.2187175	  -0.8935789	  -0.0135351	   1.0308256	   0.3475146	  -0.0119835
   0.2358572	  -0.8876279	  -0.0137324	   1.0259494	   0.3666206	  -0.0116910
   0.2529124	  -0.8813588	  -0.0139248	   1.0206806	   0.3856894	  -0.0113928
   0.2698766	  -0.8747723	  -0.0141121	   1.0150176	   0.4047118	  -0.0110891
   0.2867430	  -0.8678692	  -0.0142944	   1.0089593	   0.4236782	  -0.0107800
   0.3035052	  -0.8606505	  -0.0144714	   1.0025049	   0.4425792	  -0.0104654
   0.3035052	  -0.8606505	  -0.0144714	   1.0127215	   0.4478120	  -0.0121842
   0.3203267	  -0.8530303	  -0.0146718	   1.0058682	   0.4666377	  -0.0118640
   0.3370307	  -0.8450970	  -0.0148669	   0.9986137	   0.4853776	  -0.0115381
   0.3536105	  -0.8368521	  -0.0150564	   0.9909579	   0.5040216	  -0.0112064
   0.3700593	  -0.8282974	  -0.0152404	   0.9829014	   0.5225591	  -0.0108691
   0.3863705	  -0.8194347	  -0.0154187	   0.9744449	   0.5409796	  -0.0105263
   0.4025374	  -0.8102661	  -0.0155912	   0.9655894	   0.5592727	  -0.0101783
   0.4185535	  -0.8007937	  -0.0157579	   0.9563364	   0.5774276	  -0.0098250
   0.4344120	  -0.7910200	  -0.0159186	   0.9466877	   0.5954339	  -0.0094667
   0.4501064	  -0.7809475	  -0.0160734	   0.9366454	   0.6132808	  -0.0091034
   0.4501064	  -0.7809475	  -0.0160734	   0.9485552	   0.6205610	  -0.0108912
   0.4658287	  -0.7704576	  -0.0162519	   0.9381195	   0.6382367	  -0.0105229
   0.4813738	  -0.7596747	  -0.0164241	   0.9272913	   0.6557287	  -0.0101494
   0.4967352	  -0.7486018	  -0.0165901	   0.9160740	   0.6730259	  -0.0097707
   0.5119064	  -0.7372424	  -0.0167498	   0.9044717	   0.6901172	  -0.0093872
   0.5268811	  -0.7255999	  -0.0169030	   0.8924887	   0.7069917	  -0.0089990
   0.5416529	  -0.7136781	  -0.0170497	   0.8801300	   0.7236383	  -0.0086063
   0.5562157	  -0.7014808	  -0.0171898	   0.8674006	   0.7400464	  -0.0082093
   0.5705633	  -0.6890121	  -0.0173233	   0.8543063	   0.7562053	  -0.0078083
   0.5846896	  -0.6762763	  -0.0174501	   0.8408529	   0.7721044	  -0.0074033
   0.5846896	  -0.6762763	  -0.0174501	   0.8505100	   0.7823272	  -0.0093923
   0.5987497	  -0.6631073	  -0.0176032	   0.8367018	   0.7979548	  -0.0089833
   0.6125767	  -0.6496803	  -0.0177495	   0.8225434	   0.8132991	  -0.0085701
   0.6261650	  -0.6360000	  -0.0178889	   0.8080425	   0.8283494	  -0.0081529
   0.6395087	  -0.6220713	  -0.0180212	   0.7932070	   0.8430957	  -0.0077320
   0.6526025	  -0.6078995	  -0.0181466	   0.7780454	   0.8575281	  -0.0073076
   0.6654409	  -0.5934898	  -0.0182648	   0.7625665	   0.8716370	  -0.0068800
   0.6780187	  -0.5788478	  -0.0183759	   0.7467794	   0.8854132	  -0.0064494
