#{"t_start": 1602351007.3132186, "env_id": "lowthrust-v0"}
r,l,t
-1205.462483,40,0.433698
-1133.062288,40,0.466678
-1072.777666,40,0.49894
-1265.614432,40,0.531868
-1163.208654,40,0.788732
-876.760572,40,0.822775
-1097.636202,40,0.85686
-1098.949598,40,0.889964
-1060.129624,40,1.035094
-1043.539673,40,1.068105
-1204.71966,40,1.101314
-1014.354274,40,1.134398
-1012.792631,40,1.279698
-975.079792,40,1.313928
-1061.283509,40,1.34861
-1068.465465,40,1.383316
-1283.798087,40,1.533305
-1024.254467,40,1.566585
-800.092422,40,1.600106
-882.553674,40,1.633422
-1144.623996,40,1.77709
-1281.434286,40,1.808207
-821.536167,40,1.83863
-1045.408355,40,1.868057
-1076.763972,40,2.009553
-1155.938744,40,2.040955
-1124.716362,40,2.071209
-998.770361,40,2.1007
-716.499082,40,2.24193
-908.423716,40,2.272199
-969.327327,40,2.302938
-1077.964644,40,2.333683
-723.171394,40,2.475992
-907.926031,40,2.507375
-993.600389,40,2.540011
-824.326289,40,2.569817
-783.033497,40,2.711385
-914.633125,40,2.742625
-818.741322,40,2.77281
-1030.69028,40,2.803956
-1123.460949,40,2.946732
-647.669432,40,2.977902
-1032.30748,40,3.008185
-755.524747,40,3.03887
-1187.233214,40,3.182326
-704.594071,40,3.213491
-920.013424,40,3.244549
-795.783037,40,3.274656
-762.642229,40,3.416003
-703.499176,40,3.446921
-891.502812,40,3.476421
-691.597909,40,3.507273
-787.51416,40,3.653031
-917.937486,40,3.683553
-780.92596,40,3.713954
-832.140105,40,3.743854
-605.729489,40,3.890283
-685.717324,40,3.921746
-846.320388,40,3.951675
-771.37943,40,3.980991
-674.209494,40,4.122771
-503.639193,40,4.154508
-543.164517,40,4.18572
-640.074147,40,4.216856
-500.718113,40,4.358763
-555.847369,40,4.389171
-884.965102,40,4.418623
-606.709002,40,4.448769
-566.736175,40,4.596094
-749.113128,40,4.626287
-575.60087,40,4.656336
-737.209791,40,4.686759
-451.399443,40,4.828509
-743.150634,40,4.859605
-593.889879,40,4.889659
-798.325828,40,4.919801
-498.510936,40,5.063622
-756.907282,40,5.09475
-726.318419,40,5.125889
-609.806687,40,5.154806
-519.293259,40,5.298655
-584.654654,40,5.330633
-745.019487,40,5.361387
-601.139741,40,5.391515
-764.77399,40,5.534236
-741.256237,40,5.566206
-451.379311,40,5.596283
-454.790063,40,5.62733
-694.275847,40,5.770742
-541.754454,40,5.80246
-570.29878,40,5.83341
-386.980933,40,5.864499
-497.697721,40,6.006297
-357.514375,40,6.037442
-561.237254,40,6.068269
-559.541516,40,6.098779
-487.836388,40,6.238924
-568.511041,40,6.270025
-540.717798,40,6.301532
-663.64578,40,6.331363
-389.963559,40,6.473912
-422.204153,40,6.504648
-444.524416,40,6.534288
-630.8413,40,6.565409
-267.494473,40,6.705688
-362.243472,40,6.736556
-592.929206,40,6.767158
-446.247086,40,6.797664
-565.159299,40,6.939416
-542.383456,40,6.970328
-435.030944,40,7.000576
-367.431534,40,7.030775
-339.613589,40,7.17052
-453.980596,40,7.201277
-431.975994,40,7.231423
-323.694249,40,7.260935
-336.162338,40,7.403054
-271.725737,40,7.433732
-379.84726,40,7.464825
-408.291211,40,7.495536
-420.545693,40,7.636498
-346.768747,40,7.667664
-482.443068,40,7.697406
-300.09036,40,7.727227
-439.246241,40,7.870871
-506.517744,40,7.901761
-222.026362,40,7.931346
-563.682709,40,7.961727
-345.221856,40,8.103107
-550.970343,40,8.134096
-270.255685,40,8.165081
-391.653574,40,8.19445
-248.773152,40,8.337532
-392.863312,40,8.368202
