#{"t_start": 1602351007.2292407, "env_id": "lowthrust-v0"}
r,l,t
-1211.076567,40,0.517668
-925.058099,40,0.550659
-1128.709379,40,0.58291
-1001.811965,40,0.615806
-1089.323114,40,0.872665
-1039.987937,40,0.906768
-888.307066,40,0.940859
-1329.67536,40,0.97395
-914.371228,40,1.119065
-1215.436285,40,1.152085
-1133.214462,40,1.185297
-941.054861,40,1.218376
-860.217861,40,1.363608
-1021.401957,40,1.397893
-1095.391948,40,1.432553
-939.310254,40,1.467255
-1365.832386,40,1.617271
-1082.56445,40,1.650543
-1155.977101,40,1.684062
-1247.90691,40,1.717389
-869.037525,40,1.861044
-1067.690351,40,1.892165
-1086.483085,40,1.922597
-1022.666711,40,1.951981
-761.159942,40,2.093491
-1138.241717,40,2.124931
-850.180769,40,2.155173
-968.706251,40,2.184702
-842.939072,40,2.325913
-851.94112,40,2.356137
-892.742557,40,2.386889
-927.421918,40,2.417649
-699.608679,40,2.559929
-999.943603,40,2.591321
-736.907869,40,2.623966
-724.012008,40,2.653764
-1067.649881,40,2.795344
-713.702718,40,2.826553
-1067.944989,40,2.856758
-860.608481,40,2.887908
-829.759106,40,3.030692
-917.036689,40,3.061848
-986.125539,40,3.092143
-882.783936,40,3.122843
-1250.595734,40,3.266286
-874.401837,40,3.297441
-990.186576,40,3.328515
-851.29268,40,3.358624
-1118.373502,40,3.499994
-857.60928,40,3.53089
-697.642961,40,3.560392
-879.221919,40,3.591243
-1014.223748,40,3.737011
-848.139375,40,3.767516
-966.847177,40,3.797899
-676.714279,40,3.827824
-732.221059,40,3.974259
-851.998911,40,4.005741
-752.436042,40,4.035653
-775.936343,40,4.064958
-778.187257,40,4.206736
-783.819086,40,4.238473
-776.455705,40,4.269689
-733.026206,40,4.300812
-943.281373,40,4.442747
-918.771161,40,4.473144
-840.540671,40,4.502606
-609.540895,40,4.532702
-700.401881,40,4.68004
-643.765097,40,4.710272
-606.111707,40,4.740324
-584.252946,40,4.770737
-666.178858,40,4.912498
-539.462527,40,4.943558
-606.269838,40,4.973634
-756.764108,40,5.003746
-667.704112,40,5.14757
-505.209317,40,5.178713
-605.946579,40,5.209861
-631.670026,40,5.23878
-590.836617,40,5.382613
-685.014688,40,5.414562
-690.576513,40,5.445354
-575.10738,40,5.475471
-452.641061,40,5.61821
-536.556618,40,5.650159
-587.572571,40,5.680237
-401.448094,40,5.7113
-664.378824,40,5.854696
-432.506542,40,5.886442
-627.151667,40,5.917366
-686.582437,40,5.948447
-465.300903,40,6.090254
-546.307012,40,6.121416
-514.083108,40,6.152237
-416.226595,40,6.182755
-768.930934,40,6.322892
-378.206504,40,6.353976
-548.904971,40,6.385518
-568.144769,40,6.415332
-420.938169,40,6.557875
-493.133737,40,6.588593
-372.184305,40,6.61823
