#{"t_start": 1595955243.0396821, "env_id": "lowthrust-v0"}
r,l,t
-1032.887139,40,0.485755
-1075.190264,40,0.520451
-978.50337,40,0.553015
-999.98504,40,0.585397
-1016.193472,40,0.90495
-995.12906,40,0.937306
-1323.049862,40,0.970767
-993.32774,40,1.005667
-1090.832342,40,1.188373
-1111.454743,40,1.22085
-1092.040056,40,1.252562
-1022.419508,40,1.28494
-1127.563545,40,1.470738
-793.665273,40,1.501571
-1097.649465,40,1.533429
-781.28432,40,1.565724
-976.478818,40,1.736932
-897.028765,40,1.768372
-985.333201,40,1.799525
-1052.514467,40,1.830622
-1056.69983,40,1.993808
-1037.581273,40,2.02406
-874.504651,40,2.053507
-897.539424,40,2.082386
-861.358804,40,2.245396
-831.967272,40,2.276752
-1016.20457,40,2.306553
-869.351325,40,2.335716
-814.153833,40,2.500959
-1014.965379,40,2.53223
-858.732161,40,2.562732
-1038.417659,40,2.592425
-904.76172,40,2.76178
-1038.119589,40,2.792727
-1142.77287,40,2.823926
-954.066247,40,2.854611
-1275.200672,40,3.016425
-931.627531,40,3.047305
-1090.36622,40,3.077717
-918.139381,40,3.107029
-905.678248,40,3.268911
-861.162532,40,3.299836
-816.215988,40,3.329655
-1019.977024,40,3.359019
-887.071494,40,3.526834
-775.000635,40,3.557048
-790.882921,40,3.586402
-1035.601646,40,3.615751
-812.984746,40,3.776963
-988.798402,40,3.806671
-635.269705,40,3.835734
-1112.621183,40,3.864867
-871.651944,40,4.027683
-669.398283,40,4.057947
-1048.848885,40,4.088092
-982.174274,40,4.117974
-849.381622,40,4.289996
-950.896799,40,4.320966
-834.370853,40,4.351356
-577.574908,40,4.380588
-607.21579,40,4.548456
-828.990308,40,4.578566
-887.368335,40,4.609305
-656.361575,40,4.638911
-1074.060156,40,4.803971
-768.177652,40,4.8335
-665.300781,40,4.862643
-693.587945,40,4.892321
-933.089859,40,5.05528
-830.477527,40,5.086591
-669.835275,40,5.116375
-811.850902,40,5.145952
-1023.388055,40,5.307664
-647.337075,40,5.340451
-1009.061932,40,5.373388
-782.572492,40,5.405432
-748.572899,40,5.574589
-648.403823,40,5.608238
-748.044369,40,5.639575
-763.963698,40,5.668677
-810.332738,40,5.832085
-770.688661,40,5.863599
-586.068528,40,5.892775
-966.595823,40,5.922592
-519.707677,40,6.087662
-492.069744,40,6.118302
-742.737445,40,6.149698
-644.653453,40,6.179351
-645.732758,40,6.343049
-584.563986,40,6.378677
-868.788918,40,6.414512
-659.641405,40,6.450227
-683.102762,40,6.619428
-639.266993,40,6.651587
-643.398211,40,6.682293
-665.112973,40,6.713277
